Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Greg Stroman,CB,Virginia Tech,ACC,6-0,180,22,4.48,33.5,16,113,6.85,4.45,N/A,N/A
Kendrick Norton,DT,Miami (FL),ACC,6-3,313,21,5.18,28,24,104,7.48,4.62,N/A,N/A
Keion Crossen,CB,Western Carolina,SoCON,5-10,190,22,4.42,36.5,12,124,6.78,4.08,N/A,N/A
Justin Lawler,DE,SMU,AAC,6-4,235,23,4.76,33.5,22,118,7.02,4.38,N/A,N/A
Will Clapp,C,LSU,SEC,6-4,311,22,5.39,29,25,97,8.04,4.92,N/A,N/A
Joshua Frazier,DT,Alabama,SEC,6-3,315,22,5.08,27.5,28,100,7.68,4.78,N/A,N/A
Logan Cooke,P,Mississippi State,SEC,6-5,230,23,4.82,30,10,108,7.18,4.42,N/A,N/A
Kendall Donnerson,OLB,Southeast Missouri State,OVC,6-3,250,22,4.62,35,16,120,6.92,4.22,N/A,N/A
Logan Woodside,QB,Toledo,MAC,6-1,213,23,4.79,31.5,N/A,103,6.94,4.15,54,0.63
Ryan Izzo,TE,Florida State,ACC,6-5,256,22,4.94,33,18,110,7.15,4.43,N/A,N/A
Justin Jackson,RB,Northwestern,Big 10,6-0,199,22,4.52,38.5,13,122,6.81,4.07,N/A,N/A
Rod Taylor,G,Ole Miss,SEC,6-3,320,23,5.24,30.5,24,99,7.82,4.88,N/A,N/A
Auden Tate,WR,Florida State,ACC,6-5,228,21,4.68,31,12,112,7.02,4.38,N/A,N/A
Korey Cunningham,T,Cincinnati,AAC,6-6,310,23,5.12,28,20,102,7.72,4.82,N/A,N/A
Austin Proehl,WR,North Carolina,ACC,5-10,180,22,4.52,33.5,8,118,6.92,4.22,N/A,N/A
Trey Quinn,WR,SMU,AAC,5-11,203,22,4.55,33.5,17,116,6.91,4.19,N/A,N/A
